"Reference";"Qty";"Part Number";"Value";"DNP";"Exclude from BOM";"Exclude from Board";"Footprint";"Manufacturer"
"D3";"1";"B12H1UY--20D000134U1930";"LED-Amber";"";"";"";"robot:B12H1UYG-20D000134U1930";"Harvatek Corporation"
"D4,D6,D10";"3";"SMF13A";"SMF13A";"";"";"";"robot:D_SOD-123F";"Littelfuse Inc."
"D5";"1";"B12H1NG--20D000134U1930";"LED-GREEN";"";"";"";"robot:B12H1UYG-20D000134U1930";"Harvatek Corporation"
"D7";"1";"SD2114S040S8R0";"D_Schottky";"";"";"";"robot:SD2114S040S8R0";"KYOCERA AVX"
"D9,D11";"2";"1N4448HLP-7";"IN4448HLP";"";"";"";"robot:D_0402_1005Metric";"Diodes Incorporated"
"H1,H2,H5,H6";"4";"N/A";"MountingHole";"";"Excluded from BOM";"";"robot:MountingHole_2.2mm_M2_2mm_clearance";"N/A"
"H3,H4";"2";"N/A";"MountingHole";"";"Excluded from BOM";"";"robot:MountingHole_2.2mm_M2";"N/A"
"IC1";"1";"TPS22998RYZR";"TPS22998RYZR";"";"";"";"robot:TPS22998RYZR";"Texas Instruments"
"J1";"1";"12401610E4#2A";"USBC_Receptacle_SMD_RA";"";"";"";"robot:CON_USB3.1-C_RCPT_SMD_RA_ACP_12401610E4#2A";"Amphenol Commercial Products"
"J2";"1";"PH1-05-UA";"Conn_01x05";"";"";"";"robot:PinSocket_1x05_P2.54mm_Vertical";"Adam Tech"
"J3,J5";"2";"B6B-ZR-SM4-TF";"Conn_01x06_MountingPin";"";"";"";"robot:CONN_B6B-ZR-SM4-TF_JST";"JST"
"J6,J7";"2";"A06ZR06ZR28H51B";"MotorCable";"DNP";"";"Excluded from board";"";"JST"
"J8";"1";"N/A";"Conn_01x02";"";"Excluded from BOM";"";"robot:THT_Pitch5mm_Drill1.2mm";"N/A"
"J9";"1";"";"Conn_01x16";"";"";"";"robot:SMD FOR CASTELLATED 1x16 2.54mm";""
"L1,L3";"2";"NRS6028T1R5NMGJ";"1.5uH";"";"";"";"robot:NRS6028T1R5NMGJ";"TAIYO YUDEN"
"L2";"1";"IHLP2020BZERR47M01";"0.47uH";"";"";"";"robot:Vishay-IHLP-2020BZ-FP_1.905x2.79-3D_2.0-0-0-MFG";"Vishay"
"L5";"1";"760308102207";"8uH";"DNP";"";"Excluded from board";"";"Würth Elektronik"
"M1,M2";"2";"4639";"~";"DNP";"";"Excluded from board";"";"Adafruit"
"NT1,NT2,NT3,NT4,NT5,NT6,NT7,NT8,NT9,NT10,NT11,NT12,NT13,NT14,NT15,NT16,NT17,NT18,NT20";"19";"N/A";"NetTie_2";"";"Excluded from BOM";"";"robot:NetTie-_SMD_Pad6mil";"N/A"
"Q1,Q7";"2";"BSS138";"Q_NMOS_GDS";"";"";"";"robot:SOT-23";"ANBON SEMICONDUCTOR (INT'L) LIMITED"
"Q2";"1";"EFC8811R-TF";"EFC8811R-TF";"";"";"";"robot:ON_Semiconductor-568AL-10_2013-O-MFG";"ON Semiconductor"
"Q3";"1";"AS2312";"AS2312";"";"";"";"robot:SOT-23";"ANBON SEMICONDUCTOR (INT'L) LIMITED"
"Q4";"1";"YJL3416A";"YJL3416A";"";"";"";"robot:SOT-23";"Yangjie Electronic Technology "
"Q5,Q6";"2";"SN74AHC125RGYR";"SN74AHC125RGYR";"";"";"";"robot:SN74AHC125RGYR";"Texas Instruments"
"R1,R5,R46,R47,R50";"5";"WR04X102 JTL";"1k";"";"";"";"robot:R_0402_1005Metric";"Walsin Technologies"
"R2";"1";"DNP";"DNP";"DNP";"Excluded from BOM";"";"robot:R_0402_1005Metric";"DNP"
"R3,R4";"2";"RMCF0402JT27R0";"27";"";"";"";"robot:R_0402_1005Metric";"Stackpole Electronics"
"R6,R7,R41,R42";"4";"RC0402FR-1310RL";"10";"";"";"";"robot:R_0402_1005Metric";"Yageo"
"R8,R18";"2";"RMCF0603JT47K0";"47K";"";"";"";"robot:R_0603_1608Metric";"Stackpole Electronics"
"R9";"1";"RMCF0402FT80K6";"80.6k";"";"";"";"robot:R_0402_1005Metric";"Stackpole Electronics"
"R10,R80,R81";"3";"RMCF0603ZT0R00";"0";"DNP";"";"";"robot:R_0603_1608Metric";"Stackpole Electronics"
"R11,R52,R54,R67,R68,R69,R70,R71,R72,R77,R78";"11";"RMCF0805ZT0R00";"0";"";"";"";"robot:R_0805_2012Metric";"Stackpole Electronics"
"R14,R15,R20,R21";"4";"RMCF0603JT2K20";"2.2k";"";"";"";"robot:R_0603_1608Metric";"Stackpole Electronics"
"R16";"1";"RMCF0603JT510K";"510k";"";"";"";"robot:R_0603_1608Metric";"Stackpole Electronics"
"R17,R49,R59,R60,R61,R89,R99";"7";"WR06X1003FTL";"100k";"";"";"";"robot:R_0603_1608Metric";"Walsin Technology"
"R19";"1";"RMCF0603JT200K";"200k";"";"";"";"robot:R_0603_1608Metric";"Stackpole Electronics"
"R22,R23,R24,R25,R56,R58,R97";"7";"RMCF0603JT100R";"100";"";"";"";"robot:R_0603_1608Metric";"Stackpole Electronics"
"R26,R27";"2";"ERJ-3RQJR39V";"0.39";"DNP";"";"";"robot:R_0603_1608Metric";"Panasonic"
"R28,R31,R96,R102";"4";"WR06X1002FTL";"10k";"";"";"";"robot:R_0603_1608Metric";"Walsin Technology"
"R29,R30";"2";"ERJ-3RQJR39V";"0.39";"";"";"";"robot:R_0603_1608Metric";"Panasonic"
"R43,R45,R103,R104";"4";"ERJ-PA3J201V";"200";"";"";"";"robot:R_0603_1608Metric";"Panasonic"
"R44";"1";"PA0805FRF470R005L";"5m";"";"";"";"robot:R_0805_2012Metric";"Yageo"
"R48";"1";"RMCF0603FT2K00";"2k";"";"";"";"robot:R_0603_1608Metric";"Stackpole Electronics"
"R51";"1";"ERJ-8CWJR010V";"10m";"";"";"";"robot:R_1206_3216Metric";"Panasonic"
"R53";"1";"RMCF0603FT113K";"113K";"";"";"";"robot:R_0603_1608Metric";"Stackpole Electronics"
"R55";"1";"RMCF0603FT14K0";"14k";"";"";"";"robot:R_0603_1608Metric";"Stackpole Electronics"
"R62";"1";"RMCF0603FT16K0";"16k";"";"";"";"robot:R_0603_1608Metric";"Stackpole Electronics"
"R63,R64";"2";"RMCF0603JT5K10";"5.1k";"";"";"";"robot:R_0603_1608Metric";"Stackpole Electronics"
"R66";"1";"DNP";"DNP";"DNP";"Excluded from BOM";"";"robot:R_0603_1608Metric";"DNP"
"R76,R79,R82,R83,R84,R85,R86,R87,R88,R90,R91,R92,R93,R94";"14";"RMCF0603ZT0R00";"0";"";"";"";"robot:R_0603_1608Metric";"Stackpole Electronics"
"R98";"1";"RC0402FR-13150KL";"150k";"";"";"";"robot:R_0402_1005Metric";"YAGEO"
"R100";"1";"RC0402FR-07220KL";"220k";"";"";"";"robot:R_0402_1005Metric";"YAGEO"
"R101";"1";"RC0402FR-136K8L";"6.8k";"";"";"";"robot:R_0402_1005Metric";"YAGEO"
"R105";"1";"ERJ-PA3J201V";"200";"DNP";"";"";"robot:R_0603_1608Metric";"Panasonic"
"S1";"1";"SW-R3-1A-A-1-2";"~";"DNP";"";"Excluded from board";"";"Adam Tech"
"S2";"1";"PTS815 SJM 250 SMTR LFS";"PTS815 SJM 250 SMTR LFS";"";"";"";"robot:SW4_PTS815 SJM 250 SMTR LFS_CNK";"C&K"
"S3";"1";"JS202011JCQN";"JS202011JCQN";"";"";"";"robot:SW_JS202011JCQN";"C&K"
"SW1";"1";"0533980271";"SW_SPST";"";"";"";"robot:MOLEX_picoblade_SMT_2pin";"Molex"
"TH1";"1";"103AT-5-1P-FT";"DNP";"DNP";"";"";"robot:battery26650_thermistor";"Semitec"
"TH2";"1";"NCU15WF104J6SRC";"100k";"";"";"";"robot:R_0402_1005Metric";"Murata"
"TP1,TP2,TP9,TP10,TP11,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP26,TP27,TP33";"17";"RCUCTE";"SMD_0603";"";"";"";"robot:TestPoint_SMD_0603";"KOA Speer Electronics, Inc."
"TP12";"1";"N/A";"TP2PinPads";"";"Excluded from BOM";"";"robot:TestPoint_2Pads_Pitch2mm_SMD";"N/A"
"TP28,TP29";"2";"N/A";"TestPoint";"";"Excluded from BOM";"";"robot:THT_JumperLead";"N/A"
"TP30,TP34,TP39,TP40,TP41,TP42,TP43";"7";"5002";"TestPoint";"";"";"";"robot:KEYSTONE_5002";"Keystone Electronics"
"U1";"1";"STWLC38JRM";"STWLC38JRM";"";"";"";"robot:BGA40C40P5X8_213X333X57";"STMicroelectronics"
