Ref;Val;Package;PosX;PosY;Rot;Side
TP28;TestPoint;THT_JumperLead;6.75;61.1;0;top
TP29;TestPoint;THT_JumperLead;27.75;61.15;0;top
TP30;TestPoint;KEYSTONE_5002;56.8;38.429505;0;top
TP33;SMD_0603;TestPoint_SMD_0603;13.4;45.1;90;top
TP34;TestPoint;KEYSTONE_5002;59.9;38.45;0;top
TP39;TestPoint;KEYSTONE_5002;22.74;67.46;0;top
TP40;TestPoint;KEYSTONE_5002;75.55;41.1;0;top
TP41;TestPoint;KEYSTONE_5002;64.65;24.8;0;top
TP42;TestPoint;KEYSTONE_5002;4.4;17.5;0;top
TP43;TestPoint;KEYSTONE_5002;59.35;24.75;0;top
U1;STWLC38JRM;BGA40C40P5X8_213X333X57;52.65;59.91;0;top
U2;W25Q128JVS;SOIC-8_5.23x5.23mm_P1.27mm;8.289193;49.317569;90;top
U3;RP2040;RP2040-QFN-56;11.9004;36.2437;0;top
U4;NCP3901;NCP3901;47.09;51.0448;180;top
U5;LSF0102DCTR;SOP65P400X130-8N;37.542892;32.806669;90;top
U6;MAX77857BEWB+;WLP-35_7x5_2.828x2.028mm;45.543892;32.743169;0;top
U7;AP2502KTR-G1;SOT95P280X145-6N;26.31;65.83;90;top
U8;DRV8830DRCR;IC_DRV8830DRCR;46.175;13.4;180;top
U9;DRV8830DRCR;IC_DRV8830DRCR;34.9;13.1;180;top
U12;BQ27742YZFR-G1;Texas_Instruments-YZF0015-0-0-MFG;19.7748;47.4964;0;top
U13;MAX77976EFD+;MAX77976;34.430199;45.8164;0;top
U14;MAX77642ANA+;Maxim-N252B2-1-0-A-MFG;67.1168;40.4397;0;top
U18;AP33771DKZ-13;AP33771DKZ13;55.611892;46.441169;0;top
U25;TVS0500DRV;TVS0500DRVR;65.75;47.15;90;top
Y1;ECS-120-8-36-CKM-TR3;XTAL_ECS-120-8-36-CKM-TR3;11.82;29.12;-90;top
